id_documento,nome_documento,sigla_ou_abreviacao,tipo_documento,instituicao_responsavel,qtd_arquivos_origem
doc_5ba60d8ea1c8ec6a,2030 AGENDA FOR SUSTAINABLE DEVELOPMENT SPOTLIGHT REPORT SYNTHESIS IV BRAZIL,2AFSDSRSIB,Relatório,Civil Society Working Group for the 2030 Agenda,1
doc_1ef6f7fd04bfc171,2050: voluntariado e sustentabilidade,2VS,Livro,Rodrigo Starling,1
doc_49e12d5670dda940,Acelerando o crescimento do setor de têxteis técnicos no Brasil,ACSTTB,Relatório,Gherzi,1
doc_196accfdd54b1443,Acompanhando a agenda 2030 para o desenvolvimento sustentável: subsídios iniciais do Sistema das Nações Unidas no Brasil sobre a identificação de indicadores nacionais referentes aos objetivos de desenvolvimento sustentável,AA2DSSISNUBS,Relatório,Programa das Nações Unidas para o Desenvolvimento,1
doc_680553d1554ac1c8,Agenda Acre 10 Anos,AA1A,Plano,Secretaria de Estado de Planejamento do Acre,1
